epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,270.569,1.4681,1.41656,1.40422,0.77984,0.73953,0.77446,0.38397,1.7627,1.2341,1.88796,0.0005941,0.0005941,0.0005941
43,276.064,1.48463,1.26061,1.36216,0.69074,0.64773,0.73416,0.35952,1.76228,1.37591,1.91303,0.0005842,0.0005842,0.0005842
44,282.724,1.36649,1.27649,1.35911,0.65764,0.66063,0.6626,0.35586,1.70114,1.30901,1.8696,0.0005743,0.0005743,0.0005743
45,288.233,1.36873,1.26371,1.3626,0.63514,0.59871,0.66843,0.35808,1.71549,1.31514,1.88028,0.0005644,0.0005644,0.0005644
46,294.819,1.45363,1.32401,1.43324,0.81307,0.60439,0.67907,0.37975,1.67299,1.30053,1.79841,0.0005545,0.0005545,0.0005545
47,300.273,1.32765,1.2574,1.35707,0.77734,0.6666,0.71752,0.37813,1.7389,1.30629,1.83701,0.0005446,0.0005446,0.0005446
48,306.663,1.39126,1.19728,1.31862,0.62446,0.64976,0.69696,0.37799,1.75583,1.33869,1.86542,0.0005347,0.0005347,0.0005347
49,312.469,1.36923,1.26643,1.32544,0.72191,0.59952,0.69877,0.39407,1.7553,1.36285,1.81427,0.0005248,0.0005248,0.0005248
50,319.85,1.33428,1.1524,1.28591,0.71768,0.6535,0.72086,0.39878,1.78356,1.3231,1.81194,0.0005149,0.0005149,0.0005149
51,325.808,1.29518,1.15046,1.31607,0.74277,0.701,0.73402,0.43096,1.6743,1.30315,1.70857,0.000505,0.000505,0.000505
52,331.594,1.32363,1.14368,1.29766,0.84991,0.67529,0.74552,0.42027,1.63934,1.19178,1.68381,0.0004951,0.0004951,0.0004951
53,339.154,1.32683,1.19465,1.28391,0.8191,0.72018,0.79468,0.4506,1.60784,1.10555,1.6758,0.0004852,0.0004852,0.0004852
54,344.678,1.27842,1.09392,1.28921,0.85073,0.74183,0.78461,0.45661,1.65343,1.10575,1.717,0.0004753,0.0004753,0.0004753
55,351.215,1.20239,1.14363,1.26346,0.80375,0.69379,0.73518,0.40636,1.84094,1.14985,1.91847,0.0004654,0.0004654,0.0004654
56,356.662,1.24943,1.18483,1.29021,0.83409,0.68982,0.7576,0.38868,1.83161,1.19348,1.90138,0.0004555,0.0004555,0.0004555
57,363.185,1.31047,1.13202,1.28741,0.7052,0.7032,0.76604,0.39841,1.74431,1.19408,1.84126,0.0004456,0.0004456,0.0004456
58,368.742,1.31069,1.14275,1.31983,0.76782,0.66188,0.75743,0.39443,1.75103,1.19867,1.82621,0.0004357,0.0004357,0.0004357
59,374.753,1.34737,1.07141,1.26091,0.71066,0.7023,0.75249,0.39163,1.68578,1.19277,1.7779,0.0004258,0.0004258,0.0004258
60,380.632,1.32009,1.15567,1.34137,0.79997,0.70661,0.74102,0.39939,1.65467,1.19883,1.74706,0.0004159,0.0004159,0.0004159
61,386.105,1.25172,1.12602,1.26329,0.8641,0.70184,0.74487,0.41238,1.67117,1.18218,1.75623,0.000406,0.000406,0.000406
